 List
 ID      Priority
 3145     5
 3113     5
 3318     5
 7213     5
 1731     5
 2124     5
 7588     4
 9123     4
 7002     4
 7342     4
 3813     4
 7123     4
 1432     4
 2025     3
 6069     3
 7145     3
 5523     3
 7221     3
 8882     3
 7213     3
 7141     3
 8234     3
 8834     2
 7131     2
 6543     2
 1314     2
 8123     2
 1432     2
 2025     1
 7878     1
 9769     1
 9974     1
 5523     1
Do you want to increase your priority?(Y/N): 
y
What is your Customer ID?: 
8882
What is your new Priority Level?: 
5
 Updated List
 ID      Priority
 8882     5
 3145     5
 3113     5
 3318     5
 7213     5
 1731     5
 2124     5
 7588     4
 9123     4
 7002     4
 7342     4
 3813     4
 7123     4
 1432     4
 2025     3
 6069     3
 7145     3
 5523     3
 7221     3
 7213     3
 7141     3
 8234     3
 8834     2
 7131     2
 6543     2
 1314     2
 8123     2
 1432     2
 2025     1
 7878     1
 9769     1
 9974     1
 5523     1
